Time (s),Heave Velocity (m/s)
0.03665943943,0.02186556903
0.03190835928,0.0184617676
0.03190835928,0.01573872646
0.03190835928,0.01301568532
0.03190835928,0.01029264418
0.03190835928,0.007569603038
0.03190835928,0.004846561897
0.03190835928,0.002123520757
0.03190835928,-0.0002591402411
0.06041484017,0.02867317188
0.06041484017,0.02595013074
0.08892132106,0.03343849387
0.08892132106,0.03071545273
0.09367240121,0.0232270896
0.08892132106,0.01982328817
0.08892132106,0.01710024703
0.08892132106,0.01471758603
0.07466808062,0.01233492503
0.07466808062,0.009611883893
0.07466808062,0.006888842753
0.117427802,0.02731165131
0.150685363,0.05613050338
0.1459342828,0.03241735344
0.1316810424,0.03003469245
0.1316810424,0.02458861017
0.1791918439,0.06543422727
0.1744407637,0.06203042585
0.1744407637,0.05930738471
0.2029472446,0.07496487126
0.2029472446,0.07224183012
0.2029472446,0.06951878898
0.2029472446,0.05590358328
0.2314537255,0.08313399469
0.2314537255,0.08041095355
0.2314537255,0.07768791241
0.2314537255,0.06679574784
0.2314537255,0.0640727067
0.2314537255,0.06134966556
0.2172004851,0.05862662442
0.2172004851,0.05386130243
0.2599602064,0.08858007697
0.2599602064,0.08585703583
0.2599602064,0.07496487126
0.2599602064,0.07224183012
0.2599602064,0.06951878898
0.2884666873,0.08313399469
0.2884666873,0.08041095355
0.2884666873,0.07768791241
0.3169731682,0.08789931668
0.3027199278,0.08585703583
0.3454796491,0.1130874472
0.3454796491,0.1103644061
0.37398613,0.1185335295
0.37398613,0.1158104884
0.4024926109,0.1239796118
0.4024926109,0.1212565707
0.4024926109,0.1130874472
0.4024926109,0.1103644061
0.3882393704,0.1083221252
0.4309990918,0.1294256941
0.4309990918,0.1267026529
0.4309990918,0.1185335295
0.4309990918,0.1158104884
0.4595055727,0.1321487352
0.4595055727,0.1239796118
0.4595055727,0.1215969508
0.4880120536,0.1348717764
0.4880120536,0.1294256941
0.4880120536,0.1267026529
0.5212696146,0.1375948175
0.5212696146,0.1323756553
0.5782825764,0.1389563381
0.5735314962,0.1355525366
0.5592782558,0.1341910161
0.630544458,0.1389563381
0.630544458,0.1369140572
0.7445703816,0.1158104884
0.7445703816,0.1130874472
0.7445703816,0.1103644061
0.7778279427,0.107641365
0.7730768625,0.1042375635
0.7730768625,0.1015145224
0.8015833434,0.1164912487
0.8015833434,0.1137682075
0.8015833434,0.1110451664
0.8063344235,0.09811072096
0.8015833434,0.09470691953
0.8015833434,0.09198387839
0.8348409044,0.107641365
0.8300898243,0.1042375635
0.8300898243,0.1015145224
0.8348409044,0.08858007697
0.8300898243,0.08517627554
0.8158365838,0.08381475497
0.8585963052,0.09811072096
0.8585963052,0.09538767982
0.8585963052,0.09266463868
0.8728495456,0.1008337621
0.8918538662,0.08994159754
0.8871027861,0.08653779611
0.8871027861,0.08415513511
0.8871027861,0.06134966556
0.8871027861,0.05862662442
0.915609267,0.05590358328
0.915609267,0.05318054214
0.915609267,0.050457501
0.915609267,0.04773445986
0.915609267,0.04501141872
0.9441157479,0.06134966556
0.9441157479,0.05862662442
0.9441157479,0.04228837758
0.9441157479,0.03956533644
0.9441157479,0.0368422953
0.9441157479,0.03411925416
0.9441157479,0.03139621302
0.9441157479,0.02901355202
0.9726222288,0.05590358328
0.9726222288,0.05318054214
0.9726222288,0.050457501
0.9726222288,0.04773445986
0.9726222288,0.04501141872
1.00587979,0.04228837758
1.00112871,0.03888457615
1.00112871,0.03616153501
1.00112871,0.03343849387
1.00112871,0.03071545273
1.00112871,0.02833279173
1.00587979,0.005527322182
1.00112871,0.002123520757
1.00112871,-0.0005995203837
1.029635191,-0.004003321809
1.029635191,-0.00672636295
1.029635191,-0.00944940409
1.029635191,-0.01217244523
1.029635191,-0.01489548637
1.043888431,0.03003469245
1.058141671,0.006208082468
1.058141671,0.003485041327
1.058141671,0.0007620001866
1.058141671,-0.001961040954
1.062892752,-0.01761852751
1.058141671,-0.02102232894
1.058141671,-0.02374537008
1.058141671,-0.02612803108
1.091399232,-0.00536484238
1.086648152,-0.008768643805
1.086648152,-0.01149168495
1.086648152,-0.01421472609
1.086648152,-0.04995464106
1.100901393,-0.001280280669
1.119905713,-0.01761852751
1.115154633,-0.02102232894
1.115154633,-0.02374537008
1.115154633,-0.02612803108
1.100901393,-0.02782993179
1.119905713,-0.05301806234
1.115154633,-0.05642186376
1.115154633,-0.0591449049
1.115154633,-0.06186794604
1.115154633,-0.06459098719
1.100901393,-0.06595250776
1.143661114,-0.04893350063
1.143661114,-0.06799478861
1.143661114,-0.07071782975
1.143661114,-0.07344087089
1.143661114,-0.07616391203
1.143661114,-0.07888695317
1.143661114,-0.08126961417
1.176918675,-0.05165654177
1.172167595,-0.05506034319
1.172167595,-0.05778338433
1.172167595,-0.06050642547
1.172167595,-0.06322946661
1.172167595,-0.06595250776
1.200674076,-0.06935630918
1.200674076,-0.07207935032
1.200674076,-0.07480239146
1.200674076,-0.0775254326
1.200674076,-0.08024847374
1.200674076,-0.08263113474
1.200674076,-0.104755844
1.200674076,-0.1074788851
1.200674076,-0.1102019263
1.200674076,-0.1129249674
1.200674076,-0.1156480086
1.200674076,-0.1180306696
1.214927316,-0.06663326804
1.233931637,-0.1210940909
1.229180557,-0.1244978923
1.229180557,-0.1272209334
1.229180557,-0.1299439746
1.229180557,-0.1326670157
1.214927316,-0.1340285363
1.257687038,-0.1040750837
1.257687038,-0.1067981249
1.257687038,-0.109521166
1.257687038,-0.1122442071
1.257687038,-0.1149672483
1.257687038,-0.1176902894
1.262438118,-0.1360708171
1.243433797,-0.138113098
1.290944599,-0.1210940909
1.286193519,-0.1244978923
1.286193519,-0.1272209334
